INFO 2026-05-02 22:57:51,150 autoreload Watching for file changes with StatReloader
DEBUG 2026-05-02 22:57:51,151 autoreload Waiting for apps ready_event.
DEBUG 2026-05-02 22:57:51,737 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2026-05-02 22:57:51,752 autoreload Watching dir C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\drf_spectacular\templates with glob **/*.
DEBUG 2026-05-02 22:57:51,753 autoreload Watching dir C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\locale with glob **/*.mo.
DEBUG 2026-05-02 22:57:51,753 autoreload Watching dir C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\drf_spectacular\locale with glob **/*.mo.
DEBUG 2026-05-02 22:57:51,755 autoreload Watching dir C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\api\locale with glob **/*.mo.
DEBUG 2026-05-02 22:57:51,755 autoreload Watching dir C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\authentication\locale with glob **/*.mo.
DEBUG 2026-05-02 22:57:51,755 autoreload Watching dir C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\transactions\locale with glob **/*.mo.
DEBUG 2026-05-02 22:57:51,755 autoreload Watching dir C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\services\locale with glob **/*.mo.
DEBUG 2026-05-02 22:57:51,902 utils (0.005) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2026-05-02 22:57:51,904 utils (0.001) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2026-05-02 22:57:52,156 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\contrib\postgres\forms\hstore.py first seen with mtime 1776572620.3110318
DEBUG 2026-05-02 22:57:52,157 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\urls\base.py first seen with mtime 1776572622.344086
DEBUG 2026-05-02 22:57:52,157 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\pygments\filters\__init__.py first seen with mtime 1777512186.37544
DEBUG 2026-05-02 22:57:52,157 autoreload File C:\Python314\Lib\zipfile\__init__.py first seen with mtime 1764976582.0
DEBUG 2026-05-02 22:57:52,157 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\rest_framework_simplejwt\__init__.py first seen with mtime 1777775457.0997713
DEBUG 2026-05-02 22:57:52,158 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\contrib\sessions\apps.py first seen with mtime 1776572620.947638
DEBUG 2026-05-02 22:57:52,158 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\views\__init__.py first seen with mtime 1776572622.415171
DEBUG 2026-05-02 22:57:52,158 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\rest_framework\utils\timezone.py first seen with mtime 1776572628.3152995
DEBUG 2026-05-02 22:57:52,159 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\middleware\clickjacking.py first seen with mtime 1776572622.2621014
DEBUG 2026-05-02 22:57:52,159 autoreload File C:\Python314\DLLs\_wmi.pyd first seen with mtime 1764976656.0
DEBUG 2026-05-02 22:57:52,159 autoreload File C:\Python314\Lib\importlib\metadata\_itertools.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,159 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\urls\exceptions.py first seen with mtime 1776572622.3479753
DEBUG 2026-05-02 22:57:52,160 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\db\migrations\__init__.py first seen with mtime 1776572621.9897404
DEBUG 2026-05-02 22:57:52,160 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\forms\utils.py first seen with mtime 1776572622.1279154
DEBUG 2026-05-02 22:57:52,160 autoreload File C:\Python314\Lib\xml\__init__.py first seen with mtime 1764976582.0
DEBUG 2026-05-02 22:57:52,161 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\db\models\fields\json.py first seen with mtime 1776572622.0433674
DEBUG 2026-05-02 22:57:52,161 autoreload File C:\Python314\Lib\encodings\iso8859_4.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,161 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\contrib\admin\actions.py first seen with mtime 1776572616.004703
DEBUG 2026-05-02 22:57:52,162 autoreload File C:\Python314\Lib\random.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,162 autoreload File C:\Python314\Lib\operator.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,162 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1776572622.3725257
DEBUG 2026-05-02 22:57:52,163 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\contrib\admin\filters.py first seen with mtime 1776572616.0098312
DEBUG 2026-05-02 22:57:52,163 autoreload File C:\Python314\Lib\asyncio\mixins.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,164 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1776572621.8731363
DEBUG 2026-05-02 22:57:52,164 autoreload File C:\Python314\Lib\email\mime\nonmultipart.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,164 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\db\backends\postgresql\psycopg_any.py first seen with mtime 1776572621.9785693
DEBUG 2026-05-02 22:57:52,165 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\db\migrations\operations\fields.py first seen with mtime 1776572622.0069306
DEBUG 2026-05-02 22:57:52,165 autoreload File C:\Python314\Lib\pprint.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,166 autoreload File C:\Python314\Lib\annotationlib.py first seen with mtime 1764976580.0
DEBUG 2026-05-02 22:57:52,167 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\drf_spectacular\contrib\knox_auth_token.py first seen with mtime 1776915549.3732343
DEBUG 2026-05-02 22:57:52,167 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\requests\_internal_utils.py first seen with mtime 1777338232.3588247
DEBUG 2026-05-02 22:57:52,168 autoreload File C:\Python314\DLLs\_hashlib.pyd first seen with mtime 1764976656.0
DEBUG 2026-05-02 22:57:52,168 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\rest_framework\utils\model_meta.py first seen with mtime 1776572628.31193
DEBUG 2026-05-02 22:57:52,169 autoreload File C:\xampp\htdocs\servidor\BOOTCAMP-BACKEND-PYTHON\semana09\dia03-01-django-barbershop\entorno_django\Lib\site-packages\django\template\autoreload.py first seen with mtime 1776572622.286841
